N,50,nodes,1,AVG Computation,AVG Total,AVG Total - AVG Computation,,,Matrix size,Nodes,AVG Computation Time,AVG Total Time,AVG Total - AVG Computation Time,Matrix size and Nodes
Computation duration:,36148400,ns,,,,,,,,,,,,
Total duration:,182292000,ns,,,,,,,,,,,,
Computation duration:,36332100,ns,,,,,,,,,,,,
Total duration:,190535000,ns,,,,,,,,,,,,
Computation duration:,36295700,ns,,,,,,,,,,,,
Total duration:,213571000,ns,,,,,,,,,,,,
Computation duration:,34742000,ns,,,,,,,,,,,,
Total duration:,203721000,ns,,,,,,,,,,,,
Computation duration:,34462300,ns,,,,,,,,,,,,
Total duration:,195930000,ns,,,,,,,,,,,,
Computation duration:,36216800,ns,,,,,,,,,,,,
Total duration:,206221000,ns,,,,,,,,,,,,
Computation duration:,35500900,ns,,,,,,,,,,,,
Total duration:,205566000,ns,,,,,,,,,,,,
Computation duration:,36006000,ns,,,,,,,,,,,,
Total duration:,215440000,ns,,,,,,,,,,,,
N,200,nodes,4,,,,,,,,,,,
Computation duration:,44127400,ns,,67680730,872357800,804677070,,,,,,,,
Total duration:,767249000,ns,,,,,,,,,,,,
Computation duration:,131049000,ns,,,,,,,,,,,,
Total duration:,1011840000,ns,,,,,,,,,,,,
Computation duration:,71583800,ns,,,,,,,,,,,,
Total duration:,1095900000,ns,,,,,,,,,,,,
Computation duration:,43408900,ns,,,,,,,,,,,,
Total duration:,699592000,ns,,,,,,,,,,,,
Computation duration:,45697100,ns,,,,,,,,,,,,
Total duration:,906379000,ns,,,,,,,,,,,,
Computation duration:,50239800,ns,,,,,,,,,,,,
Total duration:,838954000,ns,,,,,,,,,,,,
Computation duration:,148212000,ns,,,,,,,,,,,,
Total duration:,1240410000,ns,,,,,,,,,,,,
Computation duration:,56611200,ns,,,,,,,,,,,,
Total duration:,800594000,ns,,,,,,,,,,,,
Computation duration:,29591500,ns,,,,,,,,,,,,
Total duration:,801501000,ns,,,,,,,,,,,,
Computation duration:,56286600,ns,,,,,,,,,,,,
Total duration:,561159000,ns,,,,,,,,,,,,
N,200,nodes,16,,,,,,,,,,,
Computation duration:,1104670000,ns,,1141177000,2804238000,1663061000,,,,,,,,
Total duration:,3317850000,ns,,,,,,,,,,,,
Computation duration:,1124710000,ns,,,,,,,,,,,,
Total duration:,2932880000,ns,,,,,,,,,,,,
Computation duration:,1177650000,ns,,,,,,,,,,,,
Total duration:,2777120000,ns,,,,,,,,,,,,
Computation duration:,1157470000,ns,,,,,,,,,,,,
Total duration:,2395810000,ns,,,,,,,,,,,,
Computation duration:,1122740000,ns,,,,,,,,,,,,
Total duration:,2909570000,ns,,,,,,,,,,,,
Computation duration:,1207840000,ns,,,,,,,,,,,,
Total duration:,2747830000,ns,,,,,,,,,,,,
Computation duration:,1035790000,ns,,,,,,,,,,,,
Total duration:,2554590000,ns,,,,,,,,,,,,
Computation duration:,1097800000,ns,,,,,,,,,,,,
Total duration:,2412060000,ns,,,,,,,,,,,,
Computation duration:,1231800000,ns,,,,,,,,,,,,
Total duration:,3143570000,ns,,,,,,,,,,,,
Computation duration:,1151300000,ns,,,,,,,,,,,,
Total duration:,2851100000,ns,,,,,,,,,,,,
N,500,nodes,1,,,,,,,,,,,
Computation duration:,535783000,ns,,539156900,1972587000,1433430100,,,,,,,,
Total duration:,1961250000,ns,,,,,,,,,,,,
Computation duration:,544215000,ns,,,,,,,,,,,,
Total duration:,1968940000,ns,,,,,,,,,,,,
Computation duration:,537620000,ns,,,,,,,,,,,,
Total duration:,1972590000,ns,,,,,,,,,,,,
Computation duration:,536601000,ns,,,,,,,,,,,,
Total duration:,1966080000,ns,,,,,,,,,,,,
Computation duration:,543725000,ns,,,,,,,,,,,,
Total duration:,1949430000,ns,,,,,,,,,,,,
Computation duration:,539784000,ns,,,,,,,,,,,,
Total duration:,2033970000,ns,,,,,,,,,,,,
Computation duration:,536117000,ns,,,,,,,,,,,,
Total duration:,2008390000,ns,,,,,,,,,,,,
Computation duration:,537828000,ns,,,,,,,,,,,,
Total duration:,1943940000,ns,,,,,,,,,,,,
Computation duration:,538447000,ns,,,,,,,,,,,,
Total duration:,1920210000,ns,,,,,,,,,,,,
Computation duration:,541449000,ns,,,,,,,,,,,,
Total duration:,2001070000,ns,,,,,,,,,,,,
N,500,nodes,4,,,,,,,,,,,
Computation duration:,292719000,ns,,317055500,3892990000,3575934500,,,,,,,,
Total duration:,2905000000,ns,,,,,,,,,,,,
Computation duration:,365155000,ns,,,,,,,,,,,,
Total duration:,3432640000,ns,,,,,,,,,,,,
Computation duration:,301475000,ns,,,,,,,,,,,,
Total duration:,3561800000,ns,,,,,,,,,,,,
Computation duration:,322623000,ns,,,,,,,,,,,,
Total duration:,5294930000,ns,,,,,,,,,,,,
Computation duration:,308193000,ns,,,,,,,,,,,,
Total duration:,4164950000,ns,,,,,,,,,,,,
Computation duration:,344761000,ns,,,,,,,,,,,,
Total duration:,3101570000,ns,,,,,,,,,,,,
Computation duration:,302764000,ns,,,,,,,,,,,,
Total duration:,4136550000,ns,,,,,,,,,,,,
Computation duration:,319713000,ns,,,,,,,,,,,,
Total duration:,3728360000,ns,,,,,,,,,,,,
Computation duration:,306993000,ns,,,,,,,,,,,,
Total duration:,4587030000,ns,,,,,,,,,,,,
Computation duration:,306159000,ns,,,,,,,,,,,,
Total duration:,4017070000,ns,,,,,,,,,,,,
N,500,nodes,16,,,,,,,,,,,
Computation duration:,4863510000,ns,,5419873000,14038450000,8618577000,,,,,,,,
Total duration:,11949200000,ns,,,,,,,,,,,,
Computation duration:,5319000000,ns,,,,,,,,,,,,
Total duration:,11939700000,ns,,,,,,,,,,,,
Computation duration:,4752420000,ns,,,,,,,,,,,,
Total duration:,16818900000,ns,,,,,,,,,,,,
Computation duration:,5601740000,ns,,,,,,,,,,,,
Total duration:,13788500000,ns,,,,,,,,,,,,
Computation duration:,5901780000,ns,,,,,,,,,,,,
Total duration:,11646800000,ns,,,,,,,,,,,,
Computation duration:,5408500000,ns,,,,,,,,,,,,
Total duration:,13132400000,ns,,,,,,,,,,,,
Computation duration:,5904910000,ns,,,,,,,,,,,,
Total duration:,16510500000,ns,,,,,,,,,,,,
Computation duration:,4875590000,ns,,,,,,,,,,,,
Total duration:,17042300000,ns,,,,,,,,,,,,
Computation duration:,5634500000,ns,,,,,,,,,,,,
Total duration:,13634700000,ns,,,,,,,,,,,,
Computation duration:,5936780000,ns,,,,,,,,,,,,
Total duration:,13921500000,ns,,,,,,,,,,,,
N,1000,nodes,1,,,,,,,,,,,
Computation duration:,6067180000,ns,,6237843000,16262660000,10024817000,,,,,,,,
Total duration:,15874900000,ns,,,,,,,,,,,,
Computation duration:,7032610000,ns,,,,,,,,,,,,
Total duration:,16852500000,ns,,,,,,,,,,,,
Computation duration:,6185130000,ns,,,,,,,,,,,,
Total duration:,16000100000,ns,,,,,,,,,,,,
Computation duration:,6045750000,ns,,,,,,,,,,,,
Total duration:,15856500000,ns,,,,,,,,,,,,
Computation duration:,6186890000,ns,,,,,,,,,,,,
Total duration:,16067300000,ns,,,,,,,,,,,,
Computation duration:,6236550000,ns,,,,,,,,,,,,
Total duration:,16051900000,ns,,,,,,,,,,,,
Computation duration:,6092680000,ns,,,,,,,,,,,,
Total duration:,16871000000,ns,,,,,,,,,,,,
Computation duration:,6273540000,ns,,,,,,,,,,,,
Total duration:,17126200000,ns,,,,,,,,,,,,
Computation duration:,6165540000,ns,,,,,,,,,,,,
Total duration:,16046900000,ns,,,,,,,,,,,,
